REGN	PLAN	NUM_SC	A_P	VR	VV	VITG	ORA	OVA	OITGA	ORP	OVP	OITGP	IR	IV	IITG	DT	PRIZ
1.0	À	60310	1	47995.0	0.0	47995.0	70759.0	48.0	70807.0	70148.0	48.0	70196.0	48606.0	0.0	48606.0	2013-01-01	1.0
1.0	À	60312	1	902117.0	0.0	902117.0	431360.0	0.0	431360.0	480824.0	0.0	480824.0	852653.0	0.0	852653.0	2013-01-01	1.0
1.0	À	60314	1	21390.0	54867.0	76257.0	22163.0	20632.0	42795.0	13526.0	11675.0	25201.0	30027.0	63824.0	93851.0	2013-01-01	1.0
1.0	À	60315	1	0.0	0.0	0.0	115003.0	6520.0	121523.0	115003.0	6520.0	121523.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	60323	1	74373.0	23669.0	98042.0	10260.0	1822.0	12082.0	5383.0	2113.0	7496.0	79250.0	23378.0	102628.0	2013-01-01	1.0
1.0	À	60401	1	16002710.0	0.0	16002710.0	4994.0	0.0	4994.0	17570.0	0.0	17570.0	15990134.0	0.0	15990134.0	2013-01-01	1.0
1.0	À	60404	1	4585.0	0.0	4585.0	0.0	0.0	0.0	0.0	0.0	0.0	4585.0	0.0	4585.0	2013-01-01	1.0
1.0	À	60409	1	91764.0	0.0	91764.0	16036.0	0.0	16036.0	0.0	0.0	0.0	107800.0	0.0	107800.0	2013-01-01	1.0
1.0	À	60701	1	178449.0	0.0	178449.0	8420.0	0.0	8420.0	4993.0	0.0	4993.0	181876.0	0.0	181876.0	2013-01-01	1.0
1.0	À	61002	1	3737.0	0.0	3737.0	6856.0	0.0	6856.0	4235.0	0.0	4235.0	6358.0	0.0	6358.0	2013-01-01	1.0
1.0	À	61008	1	22932.0	0.0	22932.0	22498.0	0.0	22498.0	16999.0	0.0	16999.0	28431.0	0.0	28431.0	2013-01-01	1.0
1.0	À	61009	1	45846.0	0.0	45846.0	3726.0	0.0	3726.0	8441.0	0.0	8441.0	41131.0	0.0	41131.0	2013-01-01	1.0
1.0	À	61010	1	1028.0	0.0	1028.0	22.0	0.0	22.0	13.0	0.0	13.0	1037.0	0.0	1037.0	2013-01-01	1.0
1.0	À	61011	1	67864.0	0.0	67864.0	80976.0	0.0	80976.0	0.0	0.0	0.0	148840.0	0.0	148840.0	2013-01-01	1.0
1.0	À	61209	1	0.0	0.0	0.0	150326.0	0.0	150326.0	150326.0	0.0	150326.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	61210	1	0.0	0.0	0.0	82587382.0	0.0	82587382.0	82587382.0	0.0	82587382.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	61212	1	0.0	0.0	0.0	2126581.0	406980.0	2533561.0	2126581.0	406980.0	2533561.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	61403	1	208562.0	0.0	208562.0	9931.0	0.0	9931.0	27117.0	0.0	27117.0	191376.0	0.0	191376.0	2013-01-01	1.0
1.0	À	61601	1	0.0	0.0	0.0	28843891.0	0.0	28843891.0	28843891.0	0.0	28843891.0	0.0	0.0	0.0	2013-01-01	1.0
1.0	À	70606	1	117696715.0	0.0	117696715.0	12495858.0	0.0	12495858.0	9185.0	0.0	9185.0	130183388.0	0.0	130183388.0	2013-01-01	1.0
1.0	À	70607	1	3834.0	0.0	3834.0	26065.0	0.0	26065.0	23924.0	0.0	23924.0	5975.0	0.0	5975.0	2013-01-01	1.0
1.0	À	70608	1	464490183.0	0.0	464490183.0	29483923.0	0.0	29483923.0	7.0	0.0	7.0	493974099.0	0.0	493974099.0	2013-01-01	1.0
1.0	À	70610	1	8718.0	0.0	8718.0	6750.0	0.0	6750.0	0.0	0.0	0.0	15468.0	0.0	15468.0	2013-01-01	1.0
1.0	À	70611	1	2995769.0	0.0	2995769.0	449016.0	0.0	449016.0	0.0	0.0	0.0	3444785.0	0.0	3444785.0	2013-01-01	1.0
1.0	À	70614	1	22565128.0	0.0	22565128.0	6161080.0	0.0	6161080.0	4987936.0	0.0	4987936.0	23738272.0	0.0	23738272.0	2013-01-01	1.0
1.0	À	10207	2	40438324.0	0.0	40438324.0	0.0	0.0	0.0	0.0	0.0	0.0	40438324.0	0.0	40438324.0	2013-01-01	1.0
1.0	À	10601	2	4789178.0	0.0	4789178.0	0.0	0.0	0.0	0.0	0.0	0.0	4789178.0	0.0	4789178.0	2013-01-01	1.0
1.0	À	10602	2	7837.0	0.0	7837.0	0.0	0.0	0.0	0.0	0.0	0.0	7837.0	0.0	7837.0	2013-01-01	1.0
1.0	À	10603	2	3416384.0	0.0	3416384.0	1231335.0	0.0	1231335.0	1427411.0	0.0	1427411.0	3612460.0	0.0	3612460.0	2013-01-01	1.0
1.0	À	10701	2	3393320.0	0.0	3393320.0	0.0	0.0	0.0	0.0	0.0	0.0	3393320.0	0.0	3393320.0	2013-01-01	1.0
1.0	À	10801	2	40085613.0	0.0	40085613.0	0.0	0.0	0.0	0.0	0.0	0.0	40085613.0	0.0	40085613.0	2013-01-01	1.0
1.0	À	30109	2	63828.0	744480.0	808308.0	13838073.0	9252573.0	23090646.0	13861422.0	9960311.0	23821733.0	87177.0	1452218.0	1539395.0	2013-01-01	1.0
1.0	À	30111	2	6813328.0	54499.0	6867827.0	1695435509.0	2318304.0	1697753813.0	1699258934.0	2313973.0	1701572907.0	10636753.0	50168.0	10686921.0	2013-01-01	1.0
1.0	À	30122	2	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2013-01-01	1.0
1.0	À	30126	2	948.0	0.0	948.0	1479.0	0.0	1479.0	1553.0	0.0	1553.0	1022.0	0.0	1022.0	2013-01-01	1.0
1.0	À	30220	2	0.0	1895304.0	1895304.0	338876.0	63684175.0	64023051.0	338939.0	62195374.0	62534313.0	63.0	406503.0	406566.0	2013-01-01	1.0
